keys,en,de,es,fr,id,it,ja,ko,pl,pt_BR,ru,vi,zh
ui_config_issue_1,Problems with the configuration!,Probleme mit der Konfiguration!,¡Problemas con la configuración!,Problèmes avec la configuration!,Masalah dengan konfigurasi!,Problemi con la configurazione!,構成に関する問題！,구성 문제!,Problemy z konfiguracją!,Problemas com a configuração!,Проблемы с конфигурацией!,Vấn đề với cấu hình!,配置问题！
ui_config_issue_2,Fix issues on the following missions before saving.,"Fixieren Sie Probleme auf den folgenden Missionen, bevor Sie speichern.",Solucione los problemas en las siguientes misiones antes de ahorrar.,Résoudre les problèmes sur les missions suivantes avant d'économiser.,Perbaiki masalah pada misi berikut sebelum menabung.,Risolvi problemi sulle seguenti missioni prima del salvataggio.,保存する前に、次のミッションの問題を修正してください。,저장하기 전에 다음과 같은 임무에서 문제를 해결하십시오.,Zaprawiają problemy z następującymi misjami przed zapisaniem.,Corrigir problemas nas seguintes missões antes de salvar.,Исправить проблемы по следующим миссиям перед сохранением.,Khắc phục sự cố về các nhiệm vụ sau trước khi lưu.,保存前修复以下任务问题。
ui_overwrite_main_1,Cannot overwrite the 'Main Campaign',"Kann die ""Hauptkampagne"" nicht überschreiben können",No se puede sobrescribir la 'campaña principal',"Ne peut pas écraser la ""campagne principale""",Tidak dapat menimpa 'kampanye utama',"Non può sovrascrivere la ""campagna principale""",'メインキャンペーン'を上書きできません,'메인 캠페인'을 덮어 쓸 수 없습니다.,"Nie można zastąpić ""głównej kampanii""",Não pode sobrescrever a 'campanha principal',Не может перезаписать «основную кампанию»,Không thể ghi đè lên 'Chiến dịch chính',不能覆盖'主竞选活动'
ui_overwrite_main_2,Please choose a different name.,Bitte wählen Sie einen anderen Namen.,"Por favor, elija un nombre diferente.",Veuillez choisir un nom différent.,Silakan pilih nama yang berbeda.,Si prega di scegliere un nome diverso.,別の名前を選択してください。,다른 이름을 선택하십시오.,Wybierz inną nazwę.,"Por favor, escolha um nome diferente.","Пожалуйста, выберите другое имя.",Vui lòng chọn một tên khác.,请选择不同的名称。
ui_no_campaign_name,Please choose a campaign name.,Bitte wählen Sie einen Kampagnennamen.,"Por favor, elija un nombre de campaña.",Veuillez choisir un nom de campagne.,Silakan pilih nama kampanye.,Si prega di scegliere un nome di campagna.,キャンペーン名を選択してください。,캠페인 이름을 선택하십시오.,Wybierz nazwę kampanii.,"Por favor, escolha um nome de campanha.","Пожалуйста, выберите название кампании.",Vui lòng chọn một tên chiến dịch.,请选择竞选名称。
ui_n_transmute_1,Cannot have more than three transmutation recipes.,Kann nicht mehr als drei Transmutationsrezepte haben.,No puede tener más de tres recetas de transmutación.,Ne peut avoir plus de trois recettes de transmutation.,Tidak dapat memiliki lebih dari tiga resep transmutasi.,Non può avere più di tre ricette di trasmutazione.,3つ以上の変換レシピを持つことはできません。,3 개 이상의 변환 조리법을 가질 수 없습니다.,Nie może mieć więcej niż trzech receptur transmutacyjnych.,Não pode ter mais de três receitas de transmutação.,Не может иметь более трех рецептов трансмутации.,Không thể có nhiều hơn ba công thức biến đổi.,不能有三个以上的嬗变配方。
ui_n_transmute_2,Remove a transmutation first from one of:,Entfernen Sie zuerst eine Transmutation von einem von:,Eliminar una transmutación primero desde uno de:,Supprimer une transmutation d'abord d'une des:,Hapus transmutasi pertama dari salah satu:,Rimuovere prima una trasmutazione da uno dei:,次のいずれかから最初に変換を取り除きます。,전송을 먼저 제거하십시오.,Wyjmij najpierw transmutację z jednego z:,Remova uma transmutação primeiro de um de:,Снимите трансмутацию сначала от одного из:,Xóa một biến đổi đầu tiên từ một trong:,首先从以下之一删除嬗变：
ui_which_transmute_1,Each input can be used for a single transmute.,Jeder Eingang kann für eine einzelne Transmission verwendet werden.,Cada entrada se puede utilizar para una sola transmutación.,Chaque entrée peut être utilisée pour un seul transmutage.,Setiap input dapat digunakan untuk transmute tunggal.,Ogni ingresso può essere utilizzato per una singola trasmuta.,各入力は単一の送信に使用できます。,각 입력은 단일 전송에 사용할 수 있습니다.,Każde wejście może być używane do pojedynczego transmisji.,Cada entrada pode ser usada para um único transmute.,Каждый вход может быть использован для одной передачи.,Mỗi đầu vào có thể được sử dụng cho một biến đơn.,每个输入都可用于单个传输。
ui_which_transmute_2,Remove:,Entfernen:,Eliminar:,Supprimer:,Menghapus:,Rimuovere:,削除する：,제거하다:,Usunąć:,Retirar:,Удалять:,Di dời:,消除：
ui_which_transmute_3,From transmuting into:,Von der Umsetzung in:,De transmutar en:,De la transmission dans:,Dari mentransmisikan ke:,Dalla trasmuta in:,変換から：,다음으로 전환하는 것,Od transmisji do:,De transmitir em:,От передачи в:,Từ việc biến đổi thành:,从透射到：
ui_named_resource,New resource must have a name.,Neue Ressource muss einen Namen haben.,El nuevo recurso debe tener un nombre.,La nouvelle ressource doit avoir un nom.,Sumber daya baru harus memiliki nama.,La nuova risorsa deve avere un nome.,新しいリソースに名前が必要です。,새 리소스에는 이름이 있어야합니다.,Nowy zasób musi mieć nazwę.,Novo recurso deve ter um nome.,Новый ресурс должен иметь имя.,Tài nguyên mới phải có tên.,新资源必须具有名称。
ui_h_positive,H must be a +ve signed resource.,H muss eine + ve-ressource sein.,H debe ser un recurso firmado A + VE.,H doit être une ressource signée + ve.,H harus menjadi + sumber daya yang ditandatangani.,H deve essere una risorsa firmata A + VE.,hは+ VE署名されたリソースでなければなりません。,h는 + VE 서명 된 자원이어야합니다.,H musi być podpisany zasobem + ve.,H deve ser um recurso de + ve.,H должен быть подписанный ресурс + ve.,H phải là một tài nguyên đã ký của A + đã ký.,H必须是A + VE签名的资源。
ui_delete_h,Cannot delete the H resource.,Die H-Ressource kann nicht löschen.,No se puede eliminar el recurso H.,Ne peut pas supprimer la ressource h.,Tidak dapat menghapus sumber daya h.,Impossibile eliminare la risorsa H.,Hリソースを削除できません。,H 자원을 삭제할 수 없습니다.,Nie można usunąć zasobu H.,Não é possível excluir o recurso H.,Не удается удалить ресурс H.,Không thể xóa tài nguyên H.,无法删除H资源。
ui_recipe_active,Recipe active,Rezept aktiv,Receta activa,Recette active,Resep aktif,Ricetta attiva,レシピアクティブ,레시피 능동적 인,Receptura aktywna,Receita ativa,Рецепт активный,Công thức hoạt động,食谱活动
ui_required_to_make,Required to make: ,"Erforderlich, um zu machen:",Requerido para hacer:,Nécessaire pour faire:,Diperlukan untuk membuat:,Richiesto per fare:,作るために必要です：,만드는 데 필요한 :,Wymagane do wykonania:,Necessário para fazer:,Требуется сделать:,Cần thiết để thực hiện:,需要做：
ui_cannot_reach_goal_1,The goal cannot be reached given the current configuration.,Das Ziel kann anhand der aktuellen Konfiguration nicht erreicht werden.,No se puede llegar a la meta dada la configuración actual.,L'objectif ne peut pas être atteint compte tenu de la configuration actuelle.,Tujuannya tidak dapat dihubungi dengan konfigurasi saat ini.,L'obiettivo non può essere raggiunto data la configurazione corrente.,現在の設定を考えると目標に達することはできません。,현재 구성이 주어지면 목표에 도달 할 수 없습니다.,"Celem nie można osiągnąć, biorąc pod uwagę aktualną konfigurację.",O objetivo não pode ser alcançado dada a configuração atual.,"Цель не может быть достигнута, учитывая текущую конфигурацию.",Mục tiêu không thể đạt được với cấu hình hiện tại.,考虑到当前配置，无法达到目标。
ui_cannot_reach_goal_2,Add the following resources to input lanes (or add derived resources):,"Fügen Sie die folgenden Ressourcen hinzu, um die Input-Lanes (oder leitete Ressourcen hinzufügen):",Agregue los siguientes recursos a los carriles de entrada (o agregue recursos derivados):,Ajoutez les ressources suivantes aux voies de saisie (ou ajoutez des ressources dérivées):,Tambahkan sumber daya berikut ke lanes input (atau tambahkan sumber daya turunan):,Aggiungere le seguenti risorse per inserire le corsie (o aggiungere risorse derivate):,入力レーンに次のリソースを追加します（または派生リソースを追加）。,입력 레인 (또는 파생 리소스 추가)에 다음 리소스를 추가하십시오.,"Dodaj następujące zasoby, aby wprowadzić ścieżki (lub dodać zasoby pochodne):",Adicione os seguintes recursos para inserir faixas (ou adicionar recursos derivados):,Добавьте следующие ресурсы для ввода полос (или добавить производные ресурсы):,Thêm các tài nguyên sau vào các làn đầu vào (hoặc thêm tài nguyên dẫn xuất):,将以下资源添加到输入通道（或添加派生资源）：
ui_tutorial_welcome,Tutorial: Welcome to Spherifactory!,Tutorial: Willkommen bei Sphärifactory!,Tutorial: ¡Bienvenido a Sfherifactory!,Tutoriel: Bienvenue à Spherifactory!,Tutorial: Selamat datang di Spherifactory!,TUTORIAL: Benvenuto a Spheractory!,チュートリアル：Spherifactoryへようこそ！,튜토리얼 : Spherifactory에 오신 것을 환영합니다!,Tutorial: Witamy w sferyfaktycznym!,Tutorial: Bem-vindo à Spherifatory!,Учебник: Добро пожаловать в сферифакты!,Hướng dẫn: Chào mừng bạn đến với Spherifactory!,教程：欢迎来到马术！
ui_tutorial_message,Tutorial: Message ,Tutorial: Nachricht.,Tutorial: Mensaje,Tutoriel: message,Tutorial: Pesan,Tutorial: Message.,チュートリアル：メッセージ,튜토리얼 : 메시지,Tutorial: Wiadomość,Tutorial: Mensagem,Учебник: сообщение,Hướng dẫn: Tin nhắn,教程：消息
ui_current_mission,Current Mission,Derzeitige Mission,Misión actual,Mission actuelle,Misi saat ini,Missione attuale,現在のミッション,현재 미션,Obecna misja,Missão atual,Текущая задача,Nhiệm vụ hiện tại,当前任务
ui_of,of,von,de,de,dari,di,の,NS,z,do,из,của,的
ui_language,Language,Sprache,Idioma,Langue,Bahasa,Lingua,言語,언어,Język,Língua,Язык,Ngôn ngữ,语
ui_delete_campaign,Delete campaign:,Kampagne löschen:,Eliminar campaña:,Supprimer la campagne:,Hapus kampanye:,Elimina campagna:,キャンペーンを削除します。,캠페인 삭제 :,Usuń kampanię:,Excluir campanha:,Удалить кампанию:,Xóa chiến dịch:,删除广告系列：
ui_copied_to_clipboard,Campaign Copied to Clipboard,Kampagne in die Zwischenablage kopiert,Campaña copiada al portapapeles.,Campagne copiée dans le presse-papier,Kampanye disalin ke clipboard,Campagna copiata negli Appunti,キャンペーンがクリップボードにコピーされました,캠페인은 클립 보드에 복사되었습니다,Kampania skopiowana do schowka,Campanha copiada para a área de transferência,Кампания скопирована в буфер обмена,Chiến dịch sao chép vào clipboard,广告系列复制到剪贴板
ui_cannot_delete_main,Cannot delete the main campaign,Die Hauptkampagne kann nicht löschen,No se puede eliminar la campaña principal,Ne peut pas supprimer la campagne principale,Tidak dapat menghapus kampanye utama,Non è possibile eliminare la campagna principale,メインキャンペーンを削除できません,주요 캠페인을 삭제할 수 없습니다,Nie można usunąć głównej kampanii,Não é possível excluir a campanha principal,Не может удалить главную кампанию,Không thể xóa chiến dịch chính,无法删除主要广告系列
ui_confirm_overwrite,Please confirm overwriting Save,Bitte überprüfen Sie das Überschreiben Speichern,Por favor confirme la sobrescritura Guardar,S'il vous plaît confirmer écraser Enregistrer,Harap Konfirmasikan Overwriting Simpan,Si prega di confermare la sovrascrittura Salva,上書き保存を確認してください,덮어 쓰기를 확인하십시오,Proszę potwierdzić nadpisanie Zapisz,"Por favor, confirme salvar sobrescrevendo","Пожалуйста, подтвердите перезапись Сохранить",Vui lòng xác nhận ghi đè Lưu lại,请确认覆盖保存
ui_confirm_delete,Please confirm deleting Save,Bitte bestätigen Sie das Löschen Speichern,"Por favor, confirme la eliminación de guardado",S'il vous plaît confirmer la suppression de sauvegarder,Harap Konfirmasikan Menghapus Simpan,Si prega di confermare l'eliminazione Salva,削除を確認してください,저장 삭제를 확인하십시오,Potwierdź usuwanie Zapisz,"Por favor, confirme a exclusão de salvar","Пожалуйста, подтвердите удаление сохранения",Vui lòng xác nhận Save Save,请确认删除保存
ui_level,Level,Niveau,Nivel,Niveau,Tingkat,Livello,レベル,수준,Poziom,Nível,Уровень,Cấp độ,等级
ui_autosave,Autosave,Autosave,Autosavo,Transmettre,Penyimpanan otomatis,Autosave,自動保存,자동 저장,AutoSave.,Salvamento automático,Автосохранение,Autosave.,自动保存
ui_goal_resource,Goal resource,Torressource,Recurso de meta,Ressource de but,Sumber Daya Tujuan,Risorse obiettivo,目標リソース,목표 자원,Zasób bramki,Recurso de meta,Цель ресурса,Tài nguyên mục tiêu,目标资源
ui_always_required,Always required,Immer erforderlich,Siempre requerido,Toujours nécessaire,Selalu diminta,Sempre richiesto,常に必要です,항상 필요합니다,Zawsze wymagany,Sempre obrigatório,Всегда требуется,Luôn luôn yêu cầu,总是要求
ui_on_input_lane,On input lane,Auf der Eingangspur,En el carril de entrada,Sur la voie d'entrée,Pada input lane.,Sulla corsia di input,入力車線に,입력 레인에서,Na pasie wejściowym,Na faixa de entrada,На входной полосе,Trên làn đầu vào,在输入车道上
ui_required,Required,Erforderlich,Requerido,Obligatoire,Yg dibutuhkan,Necessario,必須,필수의,Wymagany,Obrigatório,Необходимый,Yêu cầu,必需的
ui_show,Show,Zeigen,Show,Spectacle,Menunjukkan,Spettacolo,見せる,보여 주다,Pokazać,Mostrar,Показать,Chỉ,展示
ui_close,Close,Nah dran,Cerrar,proche,Menutup,Chiudere,選ぶ,닫다,Blisko,Fechar,Закрывать,Gần,关闭
ui_follow_satellite,Follow Satellite,Folgen Sie dem Satellit.,Seguir satélite,Suivre le satellite,Ikuti satelit,Segui il satellite,衛星をフォローする,Satellite를 따르십시오,Śledź satelita,Siga o satélite,Следуйте спутником,Theo vệ tinh,遵循卫星
ui_menu,Menu,Speisekarte,Menú,Menu,Tidak bisa,Menù,メニュー,메뉴,Menu,Cardápio,Меню,Thực đơn,菜单
ui_sol,Sol,Sol,Sol,Sol,Sol.,Sol,ソル,솔,Sol,Sol,Соль,Sol.,索尔
ui_unasigned_satellite,Unassigned Satellite,Nicht zugewiesener Satellit.,Satélite no asignado,Satellite non assigné,Satelit yang belum ditentukan,Satellite non assegnato,割り当てられていない衛星,할당되지 않은 위성,Nieprzypisany satelita,Satélite não atribuído,Неназначенный спутник,Vệ tinh không được gán,未分配的卫星
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
tut_0,"CAMERA CONTROLS

Move the camera:
  - With the W,A,S,D keys,
  - With the Arrow keys,
  - By holding the middle mouse button and moving the mouse.

Zoom the camera in and out with:
  - The Q and E keys,
  - The mouse's scroll wheel.","Kamerakontrollen

Bewegen Sie die Kamera:
  - mit den W, A, S, D-Tasten,
  - mit den Pfeiltasten,
  - indem Sie die mittlere Maustaste halten und die Maus bewegen.

Zoom Die Kamera in und aus mit:
  - die Q- und E-Tasten,
  - Das Scrollrad der Maus.","Controles de la cámara

Mueve la cámara:
  - Con las teclas W, A, S, D,
  - con las teclas de flecha,
  - Sosteniendo el botón del ratón medio y moviendo el mouse.

Zoom la cámara dentro y fuera con:
  - Las teclas Q y E,
  - La rueda de desplazamiento del mouse.","Contrôles de la caméra

Déplacez la caméra:
  - avec les touches W, A, S, D,
  - avec les touches fléchées,
  - En maintenant le bouton du milieu de la souris et en déplaçant la souris.

Zoomez l'appareil photo dans et vers l'extérieur avec:
  - les clés Q et E,
  - La roue de défilement de la souris.","Kontrol Kamera.

Pindahkan kamera:
  - dengan tombol W, A, S, D,
  - dengan tombol panah,
  - Dengan memegang tombol tengah mouse dan menggerakkan mouse.

Zoom kamera masuk dan keluar dengan:
  - Tombol Q dan E,
  - Roda gulir mouse.","Controlli della fotocamera.

Sposta la fotocamera:
  - Con i tasti W, A, S, D,
  - Con i tasti freccia,
  - Tenendo il pulsante centrale del mouse e spostando il mouse.

Zoom con la fotocamera dentro e fuori con:
  - I tasti Q ed E,
  - La ruota di scorrimento del mouse.","カメラコントロール

カメラを移動します。
   -  w、a、s、dキー、
   - 矢印キーでは、
   - マウスの中央ボタンを押しながらマウスを動かします。

カメラをズームインしてからズームインしてください。
   -  QとEキー
   - マウスのスクロールホイール。","카메라 컨트롤

카메라 이동 :
  - W, A, S, D 키로,
  - 화살표 키로,
  - 가운데 마우스 버튼을 누르고 마우스를 움직이게하십시오.

카메라를 입력하고 밖으로 나가십시오.
  - Q 및 E 키,
  - 마우스의 스크롤 휠.","Sterowanie kamerami

Przenieś aparat:
  - z klucze W, A, S, D,
  - za pomocą klawiszy strzałek
  - Przytrzymując środkowy przycisk myszy i przesuwając mysz.

Powiększ aparat wraz z:
  - Klucze Q i E,
  - Koło przewijania myszy.","Controles da câmera

Mova a câmera:
  - Com as teclas W, A, S, D,
  - Com as teclas de seta,
  - Segurando o botão do meio do mouse e movendo o mouse.

Zoom a câmera dentro e para fora com:
  - as chaves Q e E,
  - Roda de rolagem do rato.","Управление камерой

Переместить камеру:
  - с ключами W, A, S, D,
  - с клавишами со стрелками,
  - Удерживая среднюю кнопку мыши и перемещая мышь.

Увеличивайте камеру в и выйти с:
  - Q и E ключи,
  - колесо прокрутки мыши.","Điều khiển máy ảnh

Di chuyển máy ảnh:
  - Với các phím W, A, S, D,
  - với các phím mũi tên,
  - Bằng cách giữ nút chuột giữa và di chuyển chuột.

Thu phóng máy ảnh vào và ra với:
  - Phím Q và E,
  - Bánh xe cuộn của chuột.","相机控件

移动相机：
   - 用W，A，S，D键，
   - 带箭头键，
   - 通过握住鼠标按钮并移动鼠标。

缩放相机进出：
   -  Q和E键，
   - 鼠标的滚轮。"
tut_1,"RESOURCES

The sun provides an unlimited supply of the [H+] resource. Other basic resources will need to be imported.

Resources with a [+] sign always move outwards, away from the Sun.

Resources with a [-] sign always move inwards, towards the Sun.","RESSOURCEN

Die Sonne bietet eine unbegrenzte Versorgung der [H +] -Ressource. Andere grundlegende Ressourcen müssen importiert werden.

Ressourcen mit einem [+] Zeichen bewegen sich immer nach außen, abseits der Sonne.

Ressourcen mit einem [-] Zeichen bewegen sich immer nach innen in Richtung Sonne.","RECURSOS

El sol proporciona un suministro ilimitado del recurso [H +]. Otros recursos básicos deberán ser importados.

Los recursos con un signo [+] siempre se mueven hacia afuera, alejado del sol.

Los recursos con un signo [-] siempre se mueven hacia adentro, hacia el sol.","RESSOURCES

Le soleil fournit une offre illimitée de la ressource [H +]. D'autres ressources de base devront être importées.

Les ressources avec un signe [+] déménagent toujours vers l'extérieur, loin du soleil.

Les ressources avec un signe [-] se déplacent toujours vers l'intérieur, vers le soleil.","SUMBER DAYA

Matahari menyediakan pasokan tak terbatas dari sumber daya [H +]. Sumber daya dasar lainnya perlu diimpor.

Sumber daya dengan tanda [+] selalu bergerak ke luar, jauh dari Matahari.

Sumber daya dengan tanda [-] selalu bergerak ke dalam, ke arah Matahari.","Risorse

Il sole fornisce una fornitura illimitata della risorsa [H +]. Altre risorse di base dovranno essere importate.

Le risorse con un segno [+] si spostano sempre verso l'esterno, lontano dal sole.

Le risorse con un segno [-] si spostano sempre verso l'interno, verso il sole.","資力

太陽は[H +]リソースの無制限の供給を提供します。他の基本的なリソースをインポートする必要があります。

[+]記号を持つリソースは、常に太陽から離れて外側に移動します。

[ - ]記号を持つリソースは、常に太陽に向かって内側に移動します。","자원

Sun은 [H +] 자원을 무제한으로 제공합니다. 다른 기본 리소스를 가져와야합니다.

[+] 기호가있는 리소스는 항상 밖으로 나아갔습니다.

[-] 기호가있는 자원은 항상 안쪽으로 움직입니다.","SUROWCE

Słońce zapewnia nieograniczoną dostawę zasobów [H +]. Inne podstawowe zasoby wymagają importowania.

Zasoby za pomocą znaku [+] zawsze poruszają się na zewnątrz, z dala od Słońca.

Zasoby z znakiem [-] zawsze poruszają się do wewnątrz, w kierunku Słońca.","RECURSOS

O sol fornece uma oferta ilimitada do recurso [H +]. Outros recursos básicos precisarão ser importados.

Recursos com um sinal [+] sempre se movem para fora, longe do sol.

Recursos com um sinal [] sempre se movem para dentro, em direção ao sol.","РЕСУРСЫ

Солнце обеспечивает неограниченный запас ресурса [H +]. Другие основные ресурсы должны быть импортированы.

Ресурсы со знаком [+] всегда двигаются наружу от солнца.

Ресурсы с [-] знаком всегда движутся внутрь, к Солнцу.","TÀI NGUYÊN

Mặt trời cung cấp một nguồn cung cấp không giới hạn tài nguyên [H +]. Các tài nguyên cơ bản khác sẽ cần phải được nhập khẩu.

Tài nguyên với một dấu hiệu [+] luôn di chuyển ra ngoài, cách xa ánh nắng mặt trời.

Tài nguyên với một dấu hiệu [-] luôn di chuyển vào trong, về phía Mặt trời.","资源

太阳提供了无限制的[H +]资源。需要导入其他基本资源。

使用[+]标志的资源总是向外向外移动，远离太阳。

使用[ - ]标志的资源总是向内移动到太阳。"
